Date,return_nflx
2020-01-31,0.066507984
2020-02-28,0.069373215
2020-03-31,0.017532453
2020-04-30,0.118109204
2020-05-29,-0.000285805
2020-06-30,0.084125501
2020-07-31,0.074367079
2020-08-31,0.083210588
2020-09-30,-0.055763273
2020-10-30,-0.048577103
2020-11-30,0.031445795
2020-12-31,0.101956322
2021-01-29,-0.015423531
2021-02-26,0.012133888
2021-03-31,-0.031901277
2021-04-30,-0.015699887
2021-05-31,0.028706745
2021-06-30,0
2021-07-30,-0.02014353
2021-08-31,0.099735291
2021-09-30,0.072295761
2021-10-29,0.131025276
2021-11-30,-0.070127875
2021-12-31,-0.061473782
2022-01-31,-0.290983313
2022-02-28,-0.076368461
2022-03-31,-0.050517067
2022-04-29,-0.491817714
2022-05-31,0.037192697
2022-06-30,-0.114313245
2022-07-29,0.286098245
2022-08-31,-0.005958188
2022-09-30,0.053140119
2022-10-31,0.239721381
2022-11-30,0.046765772
2022-12-30,-0.034857441
